Class,Probability,Distance,X_Relative,Y_Relative,X_Combined,Y_Combined,X,Y
chair,0.9996572136878968,3.243,-1.5344468142250562,3.243,,,-2.382446814225056,5.316
tvmonitor,0.9996687769889832,4.623,-0.1543067826486792,4.623,,,-0.3443067826486792,8.953
refrigerator,0.9988906383514404,0.809,-0.0580196425594771,0.809,,,1.9079803574405227,1.936
microwave,0.9984021186828612,1.834,-0.1166400902428297,1.834,,,1.3143599097571703,4.197
bottle,0.9986193180084229,1.326,-0.4689094548790842,1.326,,,1.4180905451209158,4.141
mouse,0.8477579355239868,1.414,0.4738791777430931,1.414,,,-2.214120822256907,9.029
bus,0.962088108062744,1.801,-0.7782311763659955,1.801,,,2.0407688236340045,4.729
cup,0.9735299348831176,3.76,1.7994203671049418,3.76,,,1.4424203671049418,13.88
backpack,0.9842844605445862,1.471,-0.1718469544595987,1.471,,,-0.7318469544595988,5.3740000000000006
person,0.999914288520813,2.132,-0.2000230007607458,2.132,,,-0.4950230007607458,6.58
train,0.9975115060806274,1.048,-0.2164991340677448,1.048,,,-1.597499134067745,5.723
laptop,0.9982427954673768,1.972,0.1360904795459508,1.972,,,0.4700904795459509,2.514
toilet,0.8498901128768921,2.839,0.0806743258566006,2.839,,,-0.5283256741433993,9.201
book,0.9523655772209167,0.796,-0.0089759924663074,0.796,,,0.3390240075336925,1.15
truck,0.9944901466369628,0.827,0.2405994483123314,0.827,,,1.3085994483123315,5.792
keyboard,0.9984119534492492,0.764,0.2494947019519319,0.764,,,-1.4455052980480685,3.0460000000000003
cell phone,0.8904293775558472,1.763,-0.3634108716669208,1.763,,,-0.6794108716669208,2.599
remote,0.91572242975235,0.912,-0.3916166875913232,0.912,,,0.0673833124086768,4.195
tie,0.884069561958313,0.338,0.0875100628328263,0.338,,,0.0865100628328263,0.338
stop sign,0.9666321277618408,0.702,0.1377386341425281,0.702,,,-1.101261365857472,5.646
sports ball,0.8681416511535645,2.461,-0.8114437016560265,2.461,,,-2.3454437016560266,6.743
sink,0.9046800136566162,1.265,0.5198024300532519,1.265,,,2.339802430053252,3.457
diningtable,0.8970312476158142,1.095,0.3798130319706799,1.095,,,-1.00518696802932,2.9130000000000003
suitcase,0.8156678080558777,3.76,0.9819645547160802,3.76,,,0.6659645547160802,4.596
